Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 3 estágio(s), 2 módulo(s) de roteamento
Parâmetros: 874.3M
Métricas em checkpoints/train_pt/hnet_2stage_L.metrics.txt
passo    330 | lm 1.6812 | ppl 5.37 | bpb 2.4254 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1942 | lr 9.87e-05 | 2.36s/step | 13,883 tok/s
passo    340 | lm 1.6814 | ppl 5.37 | bpb 2.4258 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1898 | lr 1.02e-04 | 2.34s/step | 14,026 tok/s
passo    350 | lm 1.6040 | ppl 4.97 | bpb 2.3140 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1820 | lr 1.05e-04 | 2.39s/step | 13,701 tok/s
passo    360 | lm 1.6308 | ppl 5.11 | bpb 2.3527 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1801 | lr 1.08e-04 | 2.32s/step | 14,118 tok/s
passo    370 | lm 1.5881 | ppl 4.89 | bpb 2.2912 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1783 | lr 1.11e-04 | 2.33s/step | 14,084 tok/s
passo    380 | lm 1.5940 | ppl 4.92 | bpb 2.2997 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1658 | lr 1.14e-04 | 2.35s/step | 13,925 tok/s
passo    390 | lm 1.5268 | ppl 4.60 | bpb 2.2028 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1271 | lr 1.17e-04 | 2.27s/step | 14,438 tok/s
passo    400 | lm 1.5348 | ppl 4.64 | bpb 2.2142 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1578 | lr 1.20e-04 | 2.29s/step | 14,280 tok/s
passo    410 | lm 1.5511 | ppl 4.72 | bpb 2.2377 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1536 | lr 1.23e-04 | 2.30s/step | 14,238 tok/s
passo    420 | lm 1.5303 | ppl 4.62 | bpb 2.2077 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1136 | lr 1.26e-04 | 2.25s/step | 14,548 tok/s
passo    430 | lm 1.5569 | ppl 4.74 | bpb 2.2461 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1420 | lr 1.29e-04 | 2.27s/step | 14,423 tok/s
passo    440 | lm 1.5121 | ppl 4.54 | bpb 2.1815 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1074 | lr 1.32e-04 | 2.25s/step | 14,591 tok/s
passo    450 | lm 1.5762 | ppl 4.84 | bpb 2.2740 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1435 | lr 1.35e-04 | 2.28s/step | 14,387 tok/s
passo    460 | lm 1.4718 | ppl 4.36 | bpb 2.1234 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1074 | lr 1.38e-04 | 2.25s/step | 14,565 tok/s
passo    470 | lm 1.4719 | ppl 4.36 | bpb 2.1236 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1193 | lr 1.41e-04 | 2.25s/step | 14,541 tok/s
passo    480 | lm 1.5162 | ppl 4.55 | bpb 2.1874 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1012 | lr 1.44e-04 | 2.24s/step | 14,636 tok/s
passo    490 | lm 1.5308 | ppl 4.62 | bpb 2.2085 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0741 | lr 1.47e-04 | 2.22s/step | 14,781 tok/s
passo    500 | lm 1.4480 | ppl 4.25 | bpb 2.0890 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1149 | lr 1.50e-04 | 2.24s/step | 14,635 tok/s
passo    510 | lm 1.4559 | ppl 4.29 | bpb 2.1004 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0988 | lr 1.53e-04 | 2.23s/step | 14,692 tok/s
passo    520 | lm 1.4505 | ppl 4.27 | bpb 2.0927 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0768 | lr 1.56e-04 | 2.21s/step | 14,819 tok/s
passo    530 | lm 1.4866 | ppl 4.42 | bpb 2.1447 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0962 | lr 1.59e-04 | 2.24s/step | 14,658 tok/s
passo    540 | lm 1.4174 | ppl 4.13 | bpb 2.0449 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0682 | lr 1.62e-04 | 2.20s/step | 14,891 tok/s
passo    550 | lm 1.4700 | ppl 4.35 | bpb 2.1207 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0895 | lr 1.65e-04 | 2.22s/step | 14,735 tok/s
passo    560 | lm 1.4875 | ppl 4.43 | bpb 2.1460 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0720 | lr 1.68e-04 | 2.20s/step | 14,894 tok/s
passo    570 | lm 1.4406 | ppl 4.22 | bpb 2.0784 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1085 | lr 1.71e-04 | 2.24s/step | 14,633 tok/s
passo    580 | lm 1.4554 | ppl 4.29 | bpb 2.0997 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0814 | lr 1.74e-04 | 2.23s/step | 14,721 tok/s
passo    590 | lm 1.4279 | ppl 4.17 | bpb 2.0600 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0831 | lr 1.77e-04 | 2.21s/step | 14,800 tok/s
passo    600 | lm 1.4337 | ppl 4.19 | bpb 2.0684 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0899 | lr 1.80e-04 | 2.23s/step | 14,705 tok/s
passo    610 | lm 1.4423 | ppl 4.23 | bpb 2.0808 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0724 | lr 1.83e-04 | 2.21s/step | 14,815 tok/s
passo    620 | lm 1.4290 | ppl 4.17 | bpb 2.0616 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0726 | lr 1.86e-04 | 2.21s/step | 14,851 tok/s
passo    630 | lm 1.4198 | ppl 4.14 | bpb 2.0483 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0555 | lr 1.89e-04 | 2.19s/step | 14,977 tok/s
passo    640 | lm 1.3993 | ppl 4.05 | bpb 2.0187 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0768 | lr 1.92e-04 | 2.20s/step | 14,868 tok/s
passo    650 | lm 1.4127 | ppl 4.11 | bpb 2.0381 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0623 | lr 1.95e-04 | 2.21s/step | 14,844 tok/s
passo    660 | lm 1.4179 | ppl 4.13 | bpb 2.0456 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0705 | lr 1.98e-04 | 2.20s/step | 14,914 tok/s
passo    670 | lm 1.4020 | ppl 4.06 | bpb 2.0226 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0337 | lr 2.01e-04 | 2.16s/step | 15,145 tok/s
passo    680 | lm 1.4108 | ppl 4.10 | bpb 2.0353 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0782 | lr 2.04e-04 | 2.21s/step | 14,823 tok/s
passo    690 | lm 1.3605 | ppl 3.90 | bpb 1.9628 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0727 | lr 2.07e-04 | 2.21s/step | 14,837 tok/s
passo    700 | lm 1.4067 | ppl 4.08 | bpb 2.0294 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0420 | lr 2.10e-04 | 2.17s/step | 15,116 tok/s
passo    710 | lm 1.3656 | ppl 3.92 | bpb 1.9701 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0482 | lr 2.13e-04 | 2.19s/step | 14,974 tok/s
passo    720 | lm 1.3938 | ppl 4.03 | bpb 2.0109 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0604 | lr 2.16e-04 | 2.19s/step | 14,945 tok/s
passo    730 | lm 1.3528 | ppl 3.87 | bpb 1.9517 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0540 | lr 2.19e-04 | 2.17s/step | 15,089 tok/s
passo    740 | lm 1.3727 | ppl 3.95 | bpb 1.9804 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0602 | lr 2.22e-04 | 2.19s/step | 14,985 tok/s
passo    750 | lm 1.3984 | ppl 4.05 | bpb 2.0175 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0509 | lr 2.25e-04 | 2.17s/step | 15,114 tok/s
passo    760 | lm 1.3846 | ppl 3.99 | bpb 1.9976 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0424 | lr 2.28e-04 | 2.17s/step | 15,110 tok/s
passo    770 | lm 1.3824 | ppl 3.98 | bpb 1.9944 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0747 | lr 2.31e-04 | 2.21s/step | 14,833 tok/s
passo    780 | lm 1.3525 | ppl 3.87 | bpb 1.9513 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0418 | lr 2.34e-04 | 2.17s/step | 15,092 tok/s
passo    790 | lm 1.3931 | ppl 4.03 | bpb 2.0098 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0404 | lr 2.37e-04 | 2.15s/step | 15,222 tok/s
passo    800 | lm 1.3656 | ppl 3.92 | bpb 1.9702 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0509 | lr 2.40e-04 | 2.17s/step | 15,078 tok/s
passo    810 | lm 1.3918 | ppl 4.02 | bpb 2.0079 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0358 | lr 2.43e-04 | 2.17s/step | 15,101 tok/s
passo    820 | lm 1.4048 | ppl 4.07 | bpb 2.0267 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0564 | lr 2.46e-04 | 2.18s/step | 15,052 tok/s
passo    830 | lm 1.3693 | ppl 3.93 | bpb 1.9755 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0407 | lr 2.49e-04 | 2.16s/step | 15,197 tok/s
passo    840 | lm 1.3032 | ppl 3.68 | bpb 1.8801 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0580 | lr 2.52e-04 | 2.17s/step | 15,114 tok/s
passo    850 | lm 1.4000 | ppl 4.06 | bpb 2.0198 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0419 | lr 2.55e-04 | 2.16s/step | 15,189 tok/s
passo    860 | lm 1.3673 | ppl 3.92 | bpb 1.9725 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0468 | lr 2.58e-04 | 2.18s/step | 15,064 tok/s
passo    870 | lm 1.3138 | ppl 3.72 | bpb 1.8954 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0276 | lr 2.61e-04 | 2.16s/step | 15,166 tok/s
