Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 2 estágio(s), 1 módulo(s) de roteamento
Parâmetros: 679.4M
Métricas em checkpoints/train_pt/hnet_1stage_L.metrics.txt
passo     10 | lm 5.7807 | ppl 323.98 | bpb 8.3397 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2264 | lr 2.70e-06 | 338.22s/step | 109 tok/s
passo     20 | lm 4.9578 | ppl 142.28 | bpb 7.1526 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2061 | lr 5.70e-06 | 2.94s/step | 12,530 tok/s
passo     30 | lm 3.8445 | ppl 46.73 | bpb 5.5464 | bpic 0.00 | ratio_loss 0.0000 | lb 1.0886 | lr 8.70e-06 | 2.61s/step | 14,105 tok/s
passo     40 | lm 3.3895 | ppl 29.65 | bpb 4.8901 | bpic 0.00 | ratio_loss 0.0000 | lb 0.9263 | lr 1.17e-05 | 2.19s/step | 16,852 tok/s
passo     50 | lm 3.1909 | ppl 24.31 | bpb 4.6035 | bpic 0.00 | ratio_loss 0.0000 | lb 0.8808 | lr 1.47e-05 | 2.08s/step | 17,712 tok/s
passo     60 | lm 2.9189 | ppl 18.52 | bpb 4.2111 | bpic 0.00 | ratio_loss 0.0000 | lb 1.0674 | lr 1.77e-05 | 2.55s/step | 14,458 tok/s
passo     70 | lm 2.7217 | ppl 15.21 | bpb 3.9266 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2214 | lr 2.07e-05 | 3.00s/step | 12,298 tok/s
passo     80 | lm 2.6193 | ppl 13.73 | bpb 3.7789 | bpic 0.00 | ratio_loss 0.0000 | lb 1.1933 | lr 2.37e-05 | 2.90s/step | 12,705 tok/s
passo     90 | lm 2.4711 | ppl 11.84 | bpb 3.5650 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2030 | lr 2.67e-05 | 2.92s/step | 12,624 tok/s
passo    100 | lm 2.3473 | ppl 10.46 | bpb 3.3864 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2281 | lr 2.97e-05 | 3.01s/step | 12,265 tok/s
passo    110 | lm 2.3965 | ppl 10.98 | bpb 3.4574 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2334 | lr 3.27e-05 | 3.04s/step | 12,131 tok/s
passo    120 | lm 2.2229 | ppl 9.23 | bpb 3.2069 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2639 | lr 3.57e-05 | 3.14s/step | 11,751 tok/s
passo    130 | lm 2.1804 | ppl 8.85 | bpb 3.1457 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2712 | lr 3.87e-05 | 3.15s/step | 11,711 tok/s
passo    140 | lm 2.0773 | ppl 7.98 | bpb 2.9969 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2864 | lr 4.17e-05 | 3.18s/step | 11,610 tok/s
passo    150 | lm 2.1085 | ppl 8.24 | bpb 3.0419 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2936 | lr 4.47e-05 | 3.19s/step | 11,539 tok/s
passo    160 | lm 2.0128 | ppl 7.48 | bpb 2.9039 | bpic 0.00 | ratio_loss 0.0000 | lb 1.3182 | lr 4.77e-05 | 3.24s/step | 11,394 tok/s
passo    170 | lm 1.9957 | ppl 7.36 | bpb 2.8792 | bpic 0.00 | ratio_loss 0.0000 | lb 1.3213 | lr 5.07e-05 | 3.24s/step | 11,383 tok/s
passo    180 | lm 1.9822 | ppl 7.26 | bpb 2.8598 | bpic 0.00 | ratio_loss 0.0000 | lb 1.3291 | lr 5.37e-05 | 3.24s/step | 11,367 tok/s
passo    190 | lm 1.9304 | ppl 6.89 | bpb 2.7850 | bpic 0.00 | ratio_loss 0.0000 | lb 1.3282 | lr 5.67e-05 | 3.24s/step | 11,387 tok/s
passo    200 | lm 1.8434 | ppl 6.32 | bpb 2.6595 | bpic 0.00 | ratio_loss 0.0000 | lb 1.3067 | lr 5.97e-05 | 3.19s/step | 11,544 tok/s
passo    210 | lm 1.8641 | ppl 6.45 | bpb 2.6893 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2945 | lr 6.27e-05 | 3.18s/step | 11,588 tok/s
passo    220 | lm 1.7722 | ppl 5.88 | bpb 2.5567 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2940 | lr 6.57e-05 | 3.18s/step | 11,590 tok/s
passo    230 | lm 1.7859 | ppl 5.96 | bpb 2.5765 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2729 | lr 6.87e-05 | 3.13s/step | 11,778 tok/s
passo    240 | lm 1.7480 | ppl 5.74 | bpb 2.5218 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2651 | lr 7.17e-05 | 3.11s/step | 11,839 tok/s
passo    250 | lm 1.6925 | ppl 5.43 | bpb 2.4417 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2447 | lr 7.47e-05 | 3.04s/step | 12,126 tok/s
passo    260 | lm 1.6752 | ppl 5.34 | bpb 2.4168 | bpic 0.00 | ratio_loss 0.0000 | lb 1.2145 | lr 7.77e-05 | 2.93s/step | 12,562 tok/s
passo    270 | lm 1.6351 | ppl 5.13 | bpb 2.3590 | bpic 0.00 | ratio_loss 0.0000 | lb 1.1978 | lr 8.07e-05 | 2.90s/step | 12,724 tok/s
passo    280 | lm 1.6305 | ppl 5.11 | bpb 2.3524 | bpic 0.00 | ratio_loss 0.0000 | lb 1.1892 | lr 8.37e-05 | 2.87s/step | 12,824 tok/s
passo    290 | lm 1.5985 | ppl 4.95 | bpb 2.3061 | bpic 0.00 | ratio_loss 0.0000 | lb 1.1886 | lr 8.67e-05 | 2.88s/step | 12,806 tok/s
passo    300 | lm 1.6660 | ppl 5.29 | bpb 2.4035 | bpic 0.00 | ratio_loss 0.0000 | lb 1.1769 | lr 8.97e-05 | 2.85s/step | 12,923 tok/s
